rc,mu,nu,sigma,epsilon,j,i
19.40385,4,1,6.46795,0.07389,1,1
16.74459,3,1,5.58153,0.12343,2,1
19.70893,4,1,6.56964,0.07057,3,1
18.53551,4,1,6.1785,0.06622,4,1
19.9605,3,1,6.6535,0.28759,5,1
17.60703,4,1,5.86901,0.08252,6,1
18.4372,3,1,6.14574,0.12797,7,1
18.96843,3,1,6.32281,0.13538,8,1
19.80237,3,1,6.60079,0.37266,9,1
19.10093,5,1,6.36698,0.0443,10,1
19.50303,4,1,6.50101,0.04902,11,1
19.1187,3,1,6.3729,0.21396,12,1
20.30175,3,1,6.76725,0.4923,13,1
19.64625,3,1,6.54875,0.35069,14,1
17.82093,4,1,5.94031,0.09308,15,1
19.2086,3,1,6.40287,0.35933,16,1
18.58695,3,1,6.19565,0.20822,17,1
18.41117,4,1,6.13706,0.10794,18,1
18.28846,4,1,6.09615,0.09979,19,1
20.08445,5,1,6.69482,0.03979,20,1
19.40385,4,1,6.46795,0.06182,21,1
16.74459,3,1,5.58153,0.10327,22,1
19.70893,4,1,6.56964,0.05904,23,1
18.53551,4,1,6.1785,0.05541,24,1
19.9605,3,1,6.6535,0.24062,25,1
17.60703,4,1,5.86901,0.06905,26,1
18.4372,3,1,6.14574,0.10707,27,1
18.96843,3,1,6.32281,0.11326,28,1
19.80237,3,1,6.60079,0.32448,29,1
19.10093,5,1,6.36698,0.03706,30,1
19.50303,4,1,6.50101,0.04101,31,1
19.1187,3,1,6.3729,0.17901,32,1
20.30175,3,1,6.76725,0.4287,33,1
19.64625,3,1,6.54875,0.30533,34,1
17.82093,4,1,5.94031,0.07787,35,1
19.2086,3,1,6.40287,0.30064,36,1
18.58695,3,1,6.19565,0.1742,37,1
18.41117,4,1,6.13706,0.09031,38,1
18.28846,4,1,6.09615,0.08349,39,1
20.08445,5,1,6.69482,0.03329,40,1
14.08533,3,1,4.69511,0.17298,2,2
17.04968,4,1,5.68323,0.12309,3,2
15.87626,3,1,5.29209,0.11577,4,2
17.30124,3,1,5.76708,0.33532,5,2
14.94777,3,1,4.98259,0.13207,6,2
15.77794,3,1,5.25931,0.17579,7,2
16.30917,3,1,5.43639,0.1832,8,2
17.14311,3,1,5.71437,0.41949,9,2
16.44167,4,1,5.48055,0.09385,10,2
16.84377,4,1,5.61459,0.09856,11,2
16.45944,3,1,5.48648,0.26351,12,2
17.64249,3,1,5.88083,0.53932,13,2
16.98699,3,1,5.66233,0.39682,14,2
15.16167,3,1,5.05389,0.14262,15,2
16.54933,3,1,5.51645,0.40887,16,2
15.92769,3,1,5.30923,0.25776,17,2
15.75191,3,1,5.25063,0.15749,18,2
15.62921,3,1,5.20974,0.14933,19,2
17.42518,4,1,5.80839,0.08933,20,2
16.74459,3,1,5.58153,0.10327,21,2
14.08533,3,1,4.69511,0.14472,22,2
17.04968,4,1,5.68323,0.10298,23,2
15.87626,3,1,5.29209,0.09686,24,2
17.30124,3,1,5.76708,0.28054,25,2
14.94777,3,1,4.98259,0.1105,26,2
15.77794,3,1,5.25931,0.14708,27,2
16.30917,3,1,5.43639,0.15328,28,2
17.14311,3,1,5.71437,0.36526,29,2
16.44167,4,1,5.48055,0.07851,30,2
16.84377,4,1,5.61459,0.08247,31,2
16.45944,3,1,5.48648,0.22046,32,2
17.64249,3,1,5.88083,0.46967,33,2
16.98699,3,1,5.66233,0.34552,34,2
15.16167,3,1,5.05389,0.11932,35,2
16.54933,3,1,5.51645,0.34209,36,2
15.92769,3,1,5.30923,0.21566,37,2
15.75191,3,1,5.25063,0.13176,38,2
15.62921,3,1,5.20974,0.12494,39,2
17.42518,4,1,5.80839,0.07474,40,2
20.01402,5,1,6.67134,0.04553,3,3
18.8406,4,1,6.2802,0.06744,4,3
20.26559,3,1,6.7552,0.21671,5,3
17.91212,4,1,5.9707,0.08472,6,3
18.74229,9,1,6.24743,0.00088,7,3
19.27351,9,1,6.4245,0.00094,8,3
20.10745,3,1,6.70248,0.18415,9,3
19.40601,5,1,6.46867,0.04421,10,3
19.80812,5,1,6.60271,0.04921,11,3
19.42378,3,1,6.47459,0.22405,12,3
20.60684,3,1,6.86895,0.19838,13,3
19.95134,3,1,6.65044,0.20609,14,3
18.12601,4,1,6.042,0.09591,15,3
19.51368,3,1,6.50456,0.16626,16,3
18.89203,3,1,6.29734,0.21795,17,3
18.71625,4,1,6.23875,0.11167,18,3
18.59355,4,1,6.19785,0.10302,19,3
20.38953,5,1,6.79651,0.03942,20,3
19.70893,4,1,6.56964,0.06323,21,3
17.04968,4,1,5.68323,0.10716,22,3
20.01402,5,1,6.67134,0.03809,23,3
18.8406,4,1,6.2802,0.05643,24,3
20.26559,3,1,6.7552,0.18132,25,3
17.91212,4,1,5.9707,0.07089,26,3
18.74229,9,1,6.24743,0.00073,27,3
19.27351,9,1,6.4245,0.00079,28,3
20.10745,3,1,6.70248,0.16026,29,3
19.40601,5,1,6.46867,0.03698,30,3
19.80812,5,1,6.60271,0.04118,31,3
19.42378,3,1,6.47459,0.18745,32,3
20.60684,3,1,6.86895,0.17265,33,3
19.95134,3,1,6.65044,0.17937,34,3
18.12601,4,1,6.042,0.08025,35,3
19.51368,3,1,6.50456,0.1391,36,3
18.89203,3,1,6.29734,0.18236,37,3
18.71625,4,1,6.23875,0.09343,38,3
18.59355,4,1,6.19785,0.0862,39,3
20.38953,5,1,6.79651,0.03299,40,3
17.66718,4,1,5.88906,0.05856,4,4
19.09217,3,1,6.36406,0.28021,5,4
16.73869,4,1,5.57956,0.07486,6,4
17.56887,3,1,5.85629,0.12057,7,4
18.10009,3,1,6.03336,0.12798,8,4
18.93403,3,1,6.31134,0.36542,9,4
18.23259,5,1,6.07753,0.03664,10,4
18.6347,5,1,6.21157,0.04135,11,4
18.25036,3,1,6.08345,0.2063,12,4
19.43342,3,1,6.47781,0.48503,13,4
18.77792,3,1,6.2593,0.34275,14,4
16.95259,4,1,5.65086,0.08541,15,4
18.34026,3,1,6.11342,0.35166,16,4
17.71861,3,1,5.9062,0.20055,17,4
17.54283,4,1,5.84761,0.10028,18,4
17.42013,4,1,5.80671,0.09212,19,4
19.21611,5,1,6.40537,0.03212,20,4
18.53551,4,1,6.1785,0.05541,21,4
15.87626,3,1,5.29209,0.09686,22,4
18.8406,4,1,6.2802,0.05224,23,4
17.66718,4,1,5.88906,0.04899,24,4
19.09217,3,1,6.36406,0.23444,25,4
16.73869,4,1,5.57956,0.06263,26,4
17.56887,3,1,5.85629,0.10088,27,4
18.10009,3,1,6.03336,0.10707,28,4
18.93403,3,1,6.31134,0.31816,29,4
18.23259,5,1,6.07753,0.03065,30,4
18.6347,5,1,6.21157,0.0346,31,4
18.25036,3,1,6.08345,0.1726,32,4
19.43342,3,1,6.47781,0.42237,33,4
18.77792,3,1,6.2593,0.29841,34,4
16.95259,4,1,5.65086,0.07146,35,4
18.34026,3,1,6.11342,0.29423,36,4
17.71861,3,1,5.9062,0.16779,37,4
17.54283,4,1,5.84761,0.08389,38,4
17.42013,4,1,5.80671,0.07708,39,4
19.21611,5,1,6.40537,0.02688,40,4
20.51715,3,1,6.83905,0.15073,5,5
18.16368,3,1,6.05456,0.29591,6,5
18.99385,7,1,6.33129,0.00674,7,5
19.52508,7,1,6.50836,0.00686,8,5
20.35902,2,1,6.78634,0.80421,9,5
19.65758,3,1,6.55253,0.25909,10,5
20.05968,3,1,6.68656,0.26364,11,5
19.67535,3,1,6.55845,0.42252,12,5
20.8584,2,1,6.9528,0.93408,13,5
20.2029,2,1,6.7343,0.717,14,5
18.37758,3,1,6.12586,0.30607,15,5
19.76525,3,1,6.58842,0.20829,16,5
19.1436,3,1,6.3812,0.41698,17,5
18.96782,3,1,6.32261,0.32039,18,5
18.84511,3,1,6.28171,0.31254,19,5
20.64109,3,1,6.88037,0.25474,20,5
19.9605,3,1,6.6535,0.24062,21,5
17.30124,3,1,5.76708,0.28054,22,5
20.26559,3,1,6.7552,0.17713,23,5
19.09217,3,1,6.36406,0.23444,24,5
20.51715,3,1,6.83905,0.12611,25,5
18.16368,3,1,6.05456,0.24758,26,5
18.99385,7,1,6.33129,0.00564,27,5
19.52508,7,1,6.50836,0.00574,28,5
20.35902,2,1,6.78634,0.70043,29,5
19.65758,3,1,6.55253,0.21677,30,5
20.05968,3,1,6.68656,0.22058,31,5
19.67535,3,1,6.55845,0.3535,32,5
20.8584,2,1,6.9528,0.81357,33,5
20.2029,2,1,6.7343,0.62445,34,5
18.37758,3,1,6.12586,0.25608,35,5
19.76525,3,1,6.58842,0.17428,36,5
19.1436,3,1,6.3812,0.34888,37,5
18.96782,3,1,6.32261,0.26807,38,5
18.84511,3,1,6.28171,0.26149,39,5
20.64109,3,1,6.88037,0.21313,40,5
15.81021,4,1,5.27007,0.09116,6,6
16.64038,3,1,5.54679,0.13631,7,6
17.17161,3,1,5.72387,0.14371,8,6
18.00555,3,1,6.00185,0.38082,9,6
17.3041,4,1,5.76803,0.05294,10,6
17.70621,4,1,5.90207,0.05765,11,6
17.32188,3,1,5.77396,0.22259,12,6
18.50493,3,1,6.16831,0.5005,13,6
17.84943,3,1,5.94981,0.35816,14,6
16.02411,4,1,5.34137,0.10171,15,6
17.41177,3,1,5.80392,0.36796,16,6
16.79013,3,1,5.59671,0.21685,17,6
16.61435,3,1,5.53811,0.11658,18,6
16.49164,4,1,5.49721,0.10842,19,6
18.28762,4,1,6.09587,0.04842,20,6
17.60703,4,1,5.86901,0.06905,21,6
14.94777,3,1,4.98259,0.1105,22,6
17.91212,4,1,5.9707,0.06671,23,6
16.73869,4,1,5.57956,0.06263,24,6
18.16368,3,1,6.05456,0.24758,25,6
15.81021,4,1,5.27007,0.07627,26,6
16.64038,3,1,5.54679,0.11404,27,6
17.17161,3,1,5.72387,0.12024,28,6
18.00555,3,1,6.00185,0.33158,29,6
17.3041,4,1,5.76803,0.04428,30,6
17.70621,4,1,5.90207,0.04824,31,6
17.32188,3,1,5.77396,0.18624,32,6
18.50493,3,1,6.16831,0.43584,33,6
17.84943,3,1,5.94981,0.31184,34,6
16.02411,4,1,5.34137,0.0851,35,6
17.41177,3,1,5.80392,0.30786,36,6
16.79013,3,1,5.59671,0.18144,37,6
16.61435,3,1,5.53811,0.09753,38,6
16.49164,4,1,5.49721,0.09072,39,6
18.28762,4,1,6.09587,0.04052,40,6
17.47056,3,1,5.82352,0.13793,7,7
18.00179,3,1,6.0006,0.14341,8,7
18.83573,3,1,6.27858,0.41324,9,7
18.13428,4,1,6.04476,0.09941,10,7
18.53638,4,1,6.1788,0.10397,11,7
18.15205,3,1,6.05068,0.26317,12,7
19.33511,3,1,6.44504,0.52893,13,7
18.67961,3,1,6.22654,0.39136,14,7
16.85429,3,1,5.6181,0.14649,15,7
18.24195,7,1,6.08065,0.00795,16,7
17.62031,3,1,5.87344,0.25762,17,7
17.44452,3,1,5.81484,0.16084,18,7
17.32182,3,1,5.77394,0.15297,19,7
19.1178,4,1,6.3726,0.09506,20,7
18.4372,3,1,6.14574,0.10707,21,7
15.77794,3,1,5.25931,0.14708,22,7
18.74229,9,1,6.24743,0.00073,23,7
17.56887,3,1,5.85629,0.10088,24,7
18.99385,7,1,6.33129,0.00564,25,7
16.64038,3,1,5.54679,0.11404,26,7
17.47056,3,1,5.82352,0.1154,27,7
18.00179,3,1,6.0006,0.11999,28,7
18.83573,3,1,6.27858,0.35982,29,7
18.13428,4,1,6.04476,0.08318,30,7
18.53638,4,1,6.1788,0.08699,31,7
18.15205,3,1,6.05068,0.22019,32,7
19.33511,3,1,6.44504,0.46061,33,7
18.67961,3,1,6.22654,0.34077,34,7
16.85429,3,1,5.6181,0.12256,35,7
18.24195,7,1,6.08065,0.00666,36,7
17.62031,3,1,5.87344,0.21554,37,7
17.44452,3,1,5.81484,0.13457,38,7
17.32182,3,1,5.77394,0.12799,39,7
19.1178,4,1,6.3726,0.07953,40,7
18.53301,3,1,6.17767,0.1489,8,8
19.36695,3,1,6.45565,0.42023,9,8
18.66551,4,1,6.22184,0.10682,10,8
19.06761,4,1,6.35587,0.11137,11,8
18.68328,3,1,6.22776,0.27057,12,8
19.86633,3,1,6.62211,0.53595,13,8
19.21083,3,1,6.40361,0.39836,14,8
17.38551,3,1,5.79517,0.15389,15,8
18.77318,7,1,6.25773,0.00801,16,8
18.15153,3,1,6.05051,0.26502,17,8
17.97575,3,1,5.99192,0.16824,18,8
17.85305,3,1,5.95101,0.16037,19,8
19.64903,4,1,6.54968,0.10246,20,8
18.96843,3,1,6.32281,0.11326,21,8
16.30917,3,1,5.43639,0.15328,22,8
19.27351,9,1,6.4245,0.00079,23,8
18.10009,3,1,6.03336,0.10707,24,8
19.52508,7,1,6.50836,0.00574,25,8
17.17161,3,1,5.72387,0.12024,26,8
18.00179,3,1,6.0006,0.11999,27,8
18.53301,3,1,6.17767,0.12458,28,8
19.36695,3,1,6.45565,0.36592,29,8
18.66551,4,1,6.22184,0.08937,30,8
19.06761,4,1,6.35587,0.09318,31,8
18.68328,3,1,6.22776,0.22638,32,8
19.86633,3,1,6.62211,0.46672,33,8
19.21083,3,1,6.40361,0.34687,34,8
17.38551,3,1,5.79517,0.12875,35,8
18.77318,7,1,6.25773,0.00671,36,8
18.15153,3,1,6.05051,0.22174,37,8
17.97575,3,1,5.99192,0.14076,38,8
17.85305,3,1,5.95101,0.13418,39,8
19.64903,4,1,6.54968,0.08572,40,8
20.20089,2,1,6.73363,0.64576,9,9
19.49945,3,1,6.49981,0.34469,10,9
19.90155,3,1,6.63385,0.34916,11,9
19.51722,3,1,6.50574,0.50504,12,9
20.70027,2,1,6.90009,0.79291,13,9
20.04477,2,1,6.68159,0.6231,14,9
18.21945,3,1,6.07315,0.39079,15,9
19.60712,2,1,6.53571,0.64243,16,9
18.98547,3,1,6.32849,0.49961,17,9
18.80969,3,1,6.26989,0.40484,18,9
18.68698,3,1,6.22899,0.39714,19,9
20.48297,3,1,6.82766,0.34043,20,9
19.80237,3,1,6.60079,0.31179,21,9
17.14311,3,1,5.71437,0.35097,22,9
20.10745,3,1,6.70248,0.14989,23,9
18.93403,3,1,6.31134,0.30573,24,9
20.35902,2,1,6.78634,0.67285,25,9
18.00555,3,1,6.00185,0.31861,26,9
18.83573,3,1,6.27858,0.34574,27,9
19.36695,3,1,6.45565,0.35159,28,9
20.20089,2,1,6.73363,0.54028,29,9
19.49945,3,1,6.49981,0.2884,30,9
19.90155,3,1,6.63385,0.29213,31,9
19.51722,3,1,6.50574,0.42255,32,9
20.70027,2,1,6.90009,0.6634,33,9
20.04477,2,1,6.68159,0.52132,34,9
18.21945,3,1,6.07315,0.32695,35,9
19.60712,2,1,6.53571,0.53749,36,9
18.98547,3,1,6.32849,0.41801,37,9
18.80969,3,1,6.26989,0.33872,38,9
18.68698,3,1,6.22899,0.33227,39,9
20.48297,3,1,6.82766,0.28482,40,9
18.798,6,1,6.266,0.01471,10,10
19.20011,6,1,6.40003,0.01943,11,10
18.81577,3,1,6.27192,0.18437,12,10
19.99883,3,1,6.66628,0.46423,13,10
19.34333,3,1,6.44778,0.32203,14,10
17.51801,4,1,5.83934,0.06349,15,10
18.90567,3,1,6.30189,0.32974,16,10
18.28402,3,1,6.09468,0.17863,17,10
18.10824,4,1,6.03608,0.07835,18,10
17.98554,4,1,5.99518,0.0702,19,10
19.78152,7,1,6.59384,0.0102,20,10
19.10093,5,1,6.36698,0.03706,21,10
16.44167,4,1,5.48055,0.07851,22,10
19.40601,5,1,6.46867,0.0328,23,10
18.23259,5,1,6.07753,0.03065,24,10
19.65758,3,1,6.55253,0.21677,25,10
17.3041,4,1,5.76803,0.04428,26,10
18.13428,4,1,6.04476,0.08318,27,10
18.66551,4,1,6.22184,0.08937,28,10
19.49945,3,1,6.49981,0.30011,29,10
18.798,6,1,6.266,0.01231,30,10
19.20011,6,1,6.40003,0.01626,31,10
18.81577,3,1,6.27192,0.15426,32,10
19.99883,3,1,6.66628,0.40425,33,10
19.34333,3,1,6.44778,0.28036,34,10
17.51801,4,1,5.83934,0.05312,35,10
18.90567,3,1,6.30189,0.27588,36,10
18.28402,3,1,6.09468,0.14945,37,10
18.10824,4,1,6.03608,0.06556,38,10
17.98554,4,1,5.99518,0.05873,39,10
19.78152,7,1,6.59384,0.00853,40,10
19.60221,6,1,6.53407,0.02415,11,11
19.21788,3,1,6.40596,0.18909,12,11
20.40093,3,1,6.80031,0.4687,13,11
19.74543,3,1,6.58181,0.32649,14,11
17.92011,4,1,5.97337,0.06821,15,11
19.30777,3,1,6.43593,0.33446,16,11
18.68613,3,1,6.22871,0.18334,17,11
18.51035,4,1,6.17012,0.08307,18,11
18.38764,4,1,6.12922,0.07492,19,11
20.18362,6,1,6.72788,0.01492,20,11
19.50303,4,1,6.50101,0.04101,21,11
16.84377,4,1,5.61459,0.08247,22,11
19.80812,5,1,6.60271,0.03699,23,11
18.6347,5,1,6.21157,0.0346,24,11
20.05968,3,1,6.68656,0.22058,25,11
17.70621,4,1,5.90207,0.04824,26,11
18.53638,4,1,6.1788,0.08699,27,11
19.06761,4,1,6.35587,0.09318,28,11
19.90155,3,1,6.63385,0.30399,29,11
19.20011,6,1,6.40003,0.01626,30,11
19.60221,6,1,6.53407,0.02021,31,11
19.21788,3,1,6.40596,0.1582,32,11
20.40093,3,1,6.80031,0.40815,33,11
19.74543,3,1,6.58181,0.28425,34,11
17.92011,4,1,5.97337,0.05706,35,11
19.30777,3,1,6.43593,0.27983,36,11
18.68613,3,1,6.22871,0.1534,37,11
18.51035,4,1,6.17012,0.0695,38,11
18.38764,4,1,6.12922,0.06268,39,11
20.18362,6,1,6.72788,0.01248,40,11
18.83355,3,1,6.27785,0.35403,12,12
20.0166,2,1,6.6722,0.62522,13,12
19.3611,3,1,6.4537,0.48238,14,12
17.53578,3,1,5.84526,0.23315,15,12
18.92345,3,1,6.30781,0.4994,16,12
18.3018,3,1,6.1006,0.34828,17,12
18.12601,3,1,6.042,0.24801,18,12
18.00332,3,1,6.0011,0.23986,19,12
19.7993,3,1,6.59976,0.17986,20,12
19.1187,3,1,6.3729,0.17901,21,12
16.45944,3,1,5.48648,0.22046,22,12
19.42378,3,1,6.47459,0.18326,23,12
18.25036,3,1,6.08345,0.1726,24,12
19.67535,3,1,6.55845,0.3535,25,12
17.32188,3,1,5.77396,0.18624,26,12
18.15205,3,1,6.05068,0.22019,27,12
18.68328,3,1,6.22776,0.22638,28,12
19.51722,3,1,6.50574,0.4398,29,12
18.81577,3,1,6.27192,0.15426,30,12
19.21788,3,1,6.40596,0.1582,31,12
18.83355,3,1,6.27785,0.2962,32,12
20.0166,2,1,6.6722,0.54449,33,12
19.3611,3,1,6.4537,0.42005,34,12
17.53578,3,1,5.84526,0.19506,35,12
18.92345,3,1,6.30781,0.41783,36,12
18.3018,3,1,6.1006,0.2914,37,12
18.12601,3,1,6.042,0.2075,38,12
18.00332,3,1,6.0011,0.20068,39,12
19.7993,3,1,6.59976,0.15048,40,12
21.19965,2,1,7.06655,0.80307,13,13
